eta,pz,d,log,log_x,log_z,err,err_x,err_z
1,0.044,7,0.18774,0.1014,0.10106,0.001234883,0.000954558,0.000953136
1,0.046,7,0.20954,0.11536,0.11289,0.001286985,0.001010208,0.001000729
1,0.048,7,0.23175,0.12717,0.12672,0.001334324,0.001053555,0.00105196
1,0.05,7,0.26021,0.1426,0.14404,0.001387446,0.001105736,0.001110371
1,0.052,7,0.28353,0.15703,0.15879,0.001425274,0.001150528,0.00115575
1,0.054,7,0.31094,0.17542,0.17322,0.00146375,0.001202696,0.001196724
1,0.056,7,0.33727,0.1916,0.18956,0.001495055,0.001244546,0.001239464
1,0.058,7,0.36075,0.20424,0.2066,0.001518583,0.001274857,0.001280299
1,0.06,7,0.38652,0.22201,0.22127,0.001539878,0.001314236,0.001312667
1,0.062,7,0.40917,0.23625,0.23762,0.001554831,0.001343264,0.001345945
1,0.064,7,0.43677,0.25608,0.25344,0.001568445,0.001380228,0.00137553
1,0.044,9,0.16751,0.09038,0.08882,0.001180891,0.000906705,0.000899617
1,0.046,9,0.19193,0.10338,0.10332,0.001245363,0.00096277,0.000962523
1,0.048,9,0.22515,0.12256,0.12255,0.001320824,0.00103701,0.001036974
1,0.05,9,0.25179,0.13919,0.13741,0.001372559,0.001094606,0.001088708
1,0.052,9,0.28289,0.15529,0.15725,0.001424301,0.001145317,0.001151184
1,0.054,9,0.31543,0.17648,0.17609,0.001469469,0.001205549,0.001204501
1,0.056,9,0.3452,0.19519,0.19451,0.001503453,0.001253359,0.001251702
1,0.058,9,0.37572,0.21454,0.21333,0.001531517,0.001298124,0.001295455
1,0.06,9,0.40517,0.23341,0.23203,0.001552441,0.001337646,0.001334886
1,0.062,9,0.4328,0.25153,0.25129,0.001566793,0.001372088,0.001371654
1,0.064,9,0.45869,0.26971,0.26891,0.001575733,0.001403448,0.001402132
1,0.044,11,0.15245,0.08046,0.08136,0.001136701,0.000860152,0.000864526
1,0.046,11,0.18458,0.09931,0.09832,0.001226826,0.000945767,0.000941558
1,0.048,11,0.21614,0.11715,0.11654,0.001301628,0.001016985,0.001014684
1,0.05,11,0.24812,0.1369,0.13403,0.001365857,0.001087007,0.001077339
1,0.052,11,0.28632,0.15827,0.15808,0.001429478,0.001154212,0.001153649
1,0.054,11,0.31996,0.17727,0.17978,0.001475078,0.001207664,0.001214328
1,0.056,11,0.35482,0.19948,0.2001,0.001513019,0.001263676,0.001265148
1,0.058,11,0.38913,0.22187,0.22304,0.001541778,0.00131394,0.001316409
1,0.06,11,0.42453,0.24465,0.24598,0.001563024,0.001359398,0.001361888
1,0.062,11,0.45642,0.26763,0.26596,0.001575122,0.001400015,0.00139723
1,0.064,11,0.4869,0.28946,0.28613,0.001580596,0.00143413,0.001429194
2,0.08,7,0.24594,0.17226,0.09427,0.001361813,0.001194096,0.00092403
